# A) Descriptive Statistics
,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skewness,kurtosis
swh,745128.0,2.2294537180189176,1.0604137903916018,0.41,0.72,0.95,1.47,2.01,2.75,4.28,5.68,11.19,1.3328695993665158,2.6722849308290963
mwd,745128.0,301.27903527984455,51.81945051345049,0.0,6.0,233.0,289.0,310.0,330.0,350.0,357.0,360.0,-3.5005819687775612,16.605242149253307
pp1d,745128.0,10.773706128343049,2.6389799222222208,3.0,5.4,6.4,8.8,10.9,12.6,15.0,16.6,21.4,0.026782162511026875,-0.4843142697391727
wind,745128.0,7.028398905959785,3.2717405401468733,2.0,2.0,2.0,4.4,6.77,9.37,12.72,14.84,27.12,0.3854006986301139,-0.49080339079561375
dwi,745128.0,205.42970872118616,127.38967384131671,0.0,1.0,5.0,75.0,228.0,331.0,356.0,359.0,360.0,-0.37734545444683953,-1.3423057149825843

# B) GEV swh (all directions)
shape,loc,scale
0.118940,7.175213,1.019707
ReturnPeriod,ReturnLevel
2,7.540920
5,8.576043
10,9.188488
25,9.888103
50,10.358451
100,10.787986
250,11.301780
1000,11.978397

# C) GEV wind (all directions)
shape,loc,scale
-0.028131,18.038078,1.420289
ReturnPeriod,ReturnLevel
2,18.561325
5,20.214010
10,21.337587
25,22.791572
50,23.895556
100,25.013208
250,26.518661
1000,28.866351

# D) Joint Dist: wind vs dwi (%)
wind,"(-0.001, 30.0]","(120.0, 150.0]","(150.0, 180.0]","(180.0, 210.0]","(210.0, 240.0]","(240.0, 270.0]","(270.0, 300.0]","(30.0, 60.0]","(300.0, 330.0]","(330.0, 360.0]","(60.0, 90.0]","(90.0, 120.0]"
"(1.999, 4.512]",2.896012497181692,1.2561600154604309,1.4392158125852204,1.858204227998411,2.1181595645311946,2.1989510527050387,2.5061465949474453,2.0298525890853654,3.2913808097400716,3.6560161475612243,1.530475300887901,1.3607058116189432
"(12.048, 14.56]",2.200695719393178,0.12507918102661555,0.4562974415134044,0.5217895448835637,0.4545527748252649,0.3639643121718685,0.30343779860641396,0.06253959051330778,0.33175508100621637,1.4950451466056838,0.012749487336403947,0.017849282270965525
"(14.56, 17.072]",0.2725706187393307,0.04012733382720821,0.13339989907774236,0.13514456576588182,0.11206128343049784,0.09139369343253777,0.08589128310840553,0.003489333376278975,0.08978323187425516,0.14172061712886913,0.0005368205194275346,0.0020130769478532546
"(17.072, 19.584]",0.010199589869123157,0.008186512921269902,0.012615282206547063,0.0205333848681032,0.01731246175153799,0.017446666881394873,0.0139573335051159,0.0,0.021607025906958267,0.012749487336403947,0.0,0.00013420512985688366
"(19.584, 22.096]",0.00013420512985688366,0.0013420512985688365,0.0006710256492844182,0.0012078461687119529,0.0009394359089981855,0.0009394359089981855,0.00147625642842572,0.0,0.0025498974672807893,0.0016104615582826038,0.0,0.0
"(22.096, 24.608]",0.0,0.0002684102597137673,0.0,0.00013420512985688366,0.00013420512985688366,0.0006710256492844182,0.00040261538957065096,0.0,0.0002684102597137673,0.00040261538957065096,0.0,0.0
"(24.608, 27.12]",0.0,0.00013420512985688366,0.0002684102597137673,0.0,0.0002684102597137673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4.512, 7.024]",4.361935130608432,0.7115555985011971,1.2938716569502153,2.0235449479820917,1.838744484169163,1.6107299685423175,1.5558400704308522,1.6277740200341417,2.800458444723591,6.7722592628380625,1.0363320127548556,0.8660257029664702
"(7.024, 9.536]",4.628198108244489,0.46341031339581923,1.1934862198172662,1.9250383826671391,1.6672303282120655,1.34835893967211,1.2078461687119528,0.7355783167455793,1.5794601732856637,7.93944127720338,0.5472885195563715,0.4540159543058374
"(9.536, 12.048]",4.302079642692262,0.2776704136738923,0.9139369343253777,1.2785722721465305,1.1043740135922955,0.8618653439409067,0.7161185729163312,0.2783414393231767,0.807378061219012,5.26983283409025,0.1248107707669018,0.1328630785583148

# E) Joint Dist: swh vs mwd (%)
swh,"(-0.001, 30.0]","(120.0, 150.0]","(150.0, 180.0]","(180.0, 210.0]","(210.0, 240.0]","(240.0, 270.0]","(270.0, 300.0]","(30.0, 60.0]","(300.0, 330.0]","(330.0, 360.0]","(60.0, 90.0]","(90.0, 120.0]"
"(0.409, 1.488]",0.37134559431399705,0.018922923309820594,0.02388851311452529,0.1050826166779399,0.38879226119539195,1.44525504342878,6.133442844719297,0.05180318012475709,11.114063623967963,6.122706434330746,0.017580872011251757,0.01435994889468655
"(1.488, 2.566]",0.8660257029664702,0.056500359669748014,0.1328630785583148,0.4208672872311871,1.0846458595033337,2.7734832136223573,9.627876015932832,0.08253615486198344,15.673414500595872,13.42588119088264,0.03556435941207417,0.031135590126797008
"(10.112, 11.19]",0.0,0.0,0.0,0.00040261538957065096,0.00040261538957065096,0.00147625642842572,0.0002684102597137673,0.0,0.00013420512985688366,0.0,0.0,0.0
"(2.566, 3.644]",0.41549908203691177,0.009796974479552507,0.08186512921269902,0.3027667729571295,0.7791949839490665,1.9121546902008781,5.231584372081039,0.002684102597137673,6.949141623989435,4.344891079116608,0.0036235385061358584,0.0048313846748478115
"(3.644, 4.722]",0.047911231358907465,0.00147625642842572,0.031940820905938305,0.11232969369021162,0.345980824771046,0.8578391900452003,2.3523475161314567,0.0,2.3936826961273767,0.7755714454429307,0.0002684102597137673,0.0008052307791413019
"(4.722, 5.8]",0.0016104615582826038,0.0,0.007515487271985484,0.02026497460838943,0.08025466765441643,0.30652451659312224,0.80402293297259,0.0,0.7967758559603182,0.13165523238960286,0.0,0.0
"(5.8, 6.878]",0.0,0.0,0.0008052307791413019,0.00295251285685144,0.021875436166672035,0.0837440010306954,0.23767728497654095,0.0,0.2602237467924974,0.01878871817996371,0.0,0.0
"(6.878, 7.956]",0.0,0.0,0.0002684102597137673,0.0,0.00885753857055432,0.024022718244382173,0.08401241129040916,0.0,0.079583642005132,0.0012078461687119529,0.0,0.0
"(7.956, 9.034]",0.0,0.0,0.00013420512985688366,0.0,0.0,0.007247077012271717,0.01771507714110864,0.0,0.015165179673827852,0.0002684102597137673,0.0,0.0
"(9.034, 10.112]",0.0,0.0,0.0,0.0,0.0,0.001878871817996371,0.003757743635992742,0.0,0.002281487207567022,0.0,0.0,0.0

# F) Joint Dist: swh vs pp1d (%)
swh,"(10.36, 12.2]","(12.2, 14.04]","(14.04, 15.88]","(15.88, 17.72]","(17.72, 19.56]","(19.56, 21.4]","(2.999, 4.84]","(4.84, 6.68]","(6.68, 8.52]","(8.52, 10.36]"
"(0.409, 1.488]",5.474495657121998,1.3338647856475665,0.35591200438045545,0.10253271921065911,0.012749487336403947,0.0,0.30410882425569835,2.09682094888395,6.8866020334761275,9.240157395776297
"(1.488, 2.566]",14.921194747748038,7.752896146702311,1.9143019722785883,0.42583287703589184,0.04549553902148356,0.004160359025563393,0.016104615582826037,3.7045984045694165,6.844461622701066,8.581747028698425
